Order Date,Sales,Profit,Quantity,Discount,Category,Sub-Category,Segment,Region,Product Name
2021-01-01,59899,7960.36,203,0.05,Furniture,Phones,Consumer,East,Product B
2021-01-01,37587,6768.46,84,0.11,Furniture,Tables,Corporate,West,Product B
2021-01-01,55129,11281.43,184,0.13,Furniture,Tables,Corporate,Central,Product B
2021-01-01,42276,4448.88,294,0.16,Furniture,Chairs,Home Office,South,Product B
2021-01-01,61731,13546.04,183,0.05,Office Supplies,Chairs,Corporate,East,Product A
2021-01-01,23541,5446.35,275,0.17,Office Supplies,Storage,Consumer,West,Product B
2021-01-01,51887,6428.16,169,0.18,Office Supplies,Chairs,Consumer,Central,Product C
2021-01-01,63988,14958.85,106,0.15,Office Supplies,Storage,Consumer,South,Product A
2021-01-01,50558,12079.1,112,0.18,Technology,Binders,Corporate,East,Product C
2021-01-01,23229,5746.73,158,0.11,Technology,Binders,Consumer,West,Product A
2021-01-01,22004,4525.16,192,0.03,Technology,Storage,Home Office,Central,Product B
2021-01-01,23897,5276.11,147,0.09,Technology,Binders,Consumer,South,Product A
2021-02-01,19994,3657.26,131,0.07,Furniture,Chairs,Home Office,East,Product C
2021-02-01,72941,8619.06,200,0.03,Furniture,Chairs,Consumer,West,Product C
2021-02-01,63802,9808.84,178,0.04,Furniture,Phones,Corporate,Central,Product C
2021-02-01,52830,4667.57,274,0.18,Furniture,Chairs,Consumer,South,Product B
2021-02-01,36173,6001.74,254,0.19,Office Supplies,Chairs,Home Office,East,Product C
2021-02-01,74775,18460.81,97,0.14,Office Supplies,Phones,Consumer,West,Product A
2021-02-01,58339,12106.01,189,0.09,Office Supplies,Tables,Corporate,Central,Product B
2021-02-01,48774,11957.89,221,0.08,Office Supplies,Storage,Consumer,South,Product A
2021-02-01,37197,4706.76,282,0.07,Technology,Phones,Corporate,East,Product C
2021-02-01,76845,15333.37,97,0.2,Technology,Phones,Consumer,West,Product A
2021-02-01,15782,3917.47,73,0.12,Technology,Storage,Consumer,Central,Product C
2021-02-01,77929,6322.11,148,0.19,Technology,Chairs,Corporate,South,Product A
2021-03-01,69575,13023.09,125,0.04,Furniture,Phones,Consumer,East,Product B
2021-03-01,10720,2375.81,57,0.03,Furniture,Storage,Home Office,West,Product B
2021-03-01,11769,1331.31,123,0.08,Furniture,Tables,Corporate,Central,Product B
2021-03-01,20559,3772.33,175,0.18,Furniture,Tables,Consumer,South,Product A
2021-03-01,49093,5293.75,169,0.1,Office Supplies,Tables,Consumer,East,Product A
2021-03-01,77665,15790.73,105,0.15,Office Supplies,Tables,Home Office,West,Product A
2021-03-01,67094,10512.47,136,0.18,Office Supplies,Chairs,Consumer,Central,Product C
2021-03-01,21857,2509.14,259,0.05,Office Supplies,Storage,Consumer,South,Product A
